Timestamp,EEG.Counter,EEG.AF3,EEG.AF4,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,Label
1670142094.010496,88.0,4360.0,4237.692383,4311.666504,4211.153809,4284.358887,4198.974121,4231.794922,4299.358887,4180.0,4187.563965,4162.94873,4182.820313,4178.333496,4185.641113,2
1670142094.014398,89.0,4363.077148,4245.897461,4310.256348,4214.743652,4287.436035,4199.102539,4233.717773,4308.846191,4184.102539,4189.743652,4168.461426,4190.256348,4181.794922,4190.641113,2
1670142094.018299,90.0,4361.282227,4249.487305,4308.974121,4214.743652,4286.794922,4199.358887,4235.641113,4316.282227,4186.794922,4190.256348,4168.333496,4191.794922,4179.487305,4194.743652,2
1670142094.0222,91.0,4355.0,4246.794922,4306.282227,4210.897461,4281.025879,4198.589844,4236.282227,4315.384766,4186.922852,4187.692383,4162.820313,4186.282227,4171.922852,4195.128418,2
1670142094.026102,92.0,4346.794922,4239.230957,4301.666504,4205.256348,4272.436035,4196.410156,4235.384766,4305.512695,4183.974121,4182.563965,4156.794922,4176.666504,4162.820313,4190.384766,2
1670142094.030003,93.0,4340.897461,4231.410156,4296.410156,4200.769043,4265.0,4192.563965,4233.589844,4293.077148,4179.743652,4178.333496,4155.384766,4168.461426,4157.820313,4183.461426,2
1670142094.033904,94.0,4340.897461,4228.717773,4293.333496,4200.641113,4262.692383,4188.589844,4231.922852,4288.461426,4177.563965,4179.358887,4160.256348,4166.666504,4160.897461,4179.871582,2
1670142094.037806,95.0,4347.436035,4233.589844,4294.358887,4205.769043,4266.410156,4186.025879,4230.897461,4297.94873,4180.128418,4186.282227,4169.102539,4172.94873,4171.794922,4182.563965,2
1670142094.041707,96.0,4357.05127,4243.461426,4298.589844,4214.358887,4274.358887,4185.512695,4230.769043,4318.717773,4187.307617,4196.025879,4177.05127,4183.461426,4186.282227,4189.615234,2
1670142094.045609,97.0,4364.615234,4252.436035,4303.077148,4222.820313,4281.922852,4186.794922,4230.641113,4339.230957,4195.897461,4203.077148,4180.512695,4192.179688,4197.563965,4196.025879,2
1670142094.04951,98.0,4365.897461,4255.0,4304.358887,4227.436035,4285.128418,4188.589844,4229.615234,4347.563965,4201.538574,4203.974121,4178.717773,4194.743652,4200.897461,4197.436035,2
1670142094.053411,99.0,4360.384766,4250.0,4301.153809,4226.410156,4282.307617,4189.487305,4227.692383,4340.0,4201.410156,4197.94873,4173.589844,4189.871582,4196.025879,4193.077148,2
1670142094.057313,100.0,4351.282227,4240.0,4295.512695,4220.897461,4274.743652,4188.717773,4225.897461,4323.205078,4195.384766,4188.205078,4167.692383,4180.128418,4187.179688,4184.871582,2
1670142094.061214,101.0,4343.205078,4230.256348,4290.769043,4214.743652,4266.666504,4186.666504,4225.769043,4308.205078,4185.897461,4178.974121,4162.94873,4170.128418,4179.615234,4176.538574,2
1670142094.065116,102.0,4339.487305,4224.743652,4289.615234,4211.153809,4262.179688,4184.743652,4227.563965,4302.692383,4177.05127,4173.974121,4159.358887,4164.743652,4176.794922,4171.282227,2
1670142094.069017,103.0,4340.128418,4225.0,4291.922852,4210.897461,4263.205078,4184.615234,4230.256348,4306.282227,4171.666504,4173.461426,4156.538574,4166.153809,4178.333496,4170.0,2
1670142094.072918,104.0,4342.820313,4229.102539,4295.384766,4212.563965,4268.205078,4186.538574,4232.692383,4312.820313,4170.0,4174.743652,4154.230957,4172.307617,4181.282227,4171.666504,2
1670142094.07682,105.0,4344.743652,4233.333496,4297.563965,4213.974121,4273.846191,4189.230957,4233.589844,4316.153809,4170.0,4175.0,4152.307617,4178.974121,4182.692383,4173.717773,2
1670142094.080721,106.0,4343.846191,4234.615234,4297.179688,4213.717773,4276.538574,4191.410156,4233.077148,4314.230957,4169.487305,4172.94873,4151.410156,4181.922852,4181.410156,4173.974121,2
1670142094.084623,107.0,4340.384766,4232.692383,4294.615234,4211.410156,4274.871582,4191.410156,4231.794922,4308.974121,4168.205078,4169.743652,4151.922852,4180.128418,4178.589844,4173.077148,2
1670142094.088524,108.0,4336.410156,4229.743652,4291.794922,4208.589844,4269.487305,4188.974121,4230.641113,4304.230957,4167.436035,4167.820313,4154.487305,4176.410156,4176.282227,4173.461426,2
1670142094.092425,109.0,4334.358887,4228.333496,4290.769043,4207.05127,4263.846191,4185.512695,4230.0,4302.563965,4169.743652,4169.871582,4159.743652,4174.871582,4175.384766,4176.922852,2
1670142094.096327,110.0,4335.384766,4229.487305,4292.179688,4207.436035,4261.282227,4182.820313,4230.0,4305.512695,4175.641113,4176.538574,4166.538574,4177.94873,4175.512695,4182.94873,2
1670142094.100228,111.0,4338.974121,4232.05127,4294.743652,4209.102539,4262.820313,4182.307617,4230.512695,4312.05127,4183.333496,4185.641113,4172.692383,4184.230957,4175.384766,4188.717773,2
1670142094.104129,112.0,4342.94873,4234.102539,4296.922852,4210.641113,4266.153809,4184.102539,4231.282227,4319.743652,4189.230957,4193.589844,4176.282227,4189.230957,4174.871582,4191.538574,2
1670142094.108031,113.0,4344.871582,4234.615234,4297.820313,4211.153809,4268.077148,4186.922852,4232.05127,4325.384766,4191.153809,4197.05127,4176.794922,4188.974121,4174.102539,4190.384766,2
1670142094.111932,114.0,4343.333496,4234.487305,4296.922852,4210.641113,4266.922852,4188.717773,4232.692383,4326.794922,4188.974121,4195.0,4174.615234,4183.333496,4173.717773,4186.282227,2
1670142094.115834,115.0,4339.871582,4235.256348,4294.615234,4209.230957,4264.487305,4188.333496,4233.077148,4325.384766,4184.871582,4188.717773,4170.769043,4175.641113,4173.461426,4181.794922,2
1670142094.119735,116.0,4337.179688,4237.436035,4292.563965,4208.077148,4263.974121,4186.153809,4232.820313,4324.102539,4181.922852,4182.307617,4166.666504,4170.897461,4173.205078,4179.487305,2
1670142094.123636,117.0,4337.692383,4241.025879,4292.820313,4208.333496,4267.179688,4183.974121,4232.436035,4324.871582,4181.794922,4179.615234,4163.333496,4171.666504,4173.846191,4180.641113,2
1670142094.127538,118.0,4342.05127,4244.487305,4295.769043,4210.128418,4273.077148,4183.717773,4232.692383,4326.282227,4184.615234,4182.05127,4162.307617,4177.436035,4176.666504,4184.358887,2
1670142094.131439,119.0,4348.461426,4246.666504,4300.384766,4212.179688,4278.974121,4186.282227,4233.846191,4325.512695,4188.205078,4187.436035,4163.974121,4184.615234,4181.410156,4188.846191,2
1670142094.135341,120.0,4353.461426,4246.922852,4303.589844,4212.692383,4282.179688,4189.487305,4235.128418,4321.025879,4189.615234,4191.538574,4167.563965,4189.358887,4185.769043,4191.794922,2
1670142094.139242,121.0,4354.358887,4246.153809,4303.461426,4211.282227,4281.794922,4190.769043,4235.128418,4314.743652,4187.820313,4191.794922,4171.153809,4190.0,4186.922852,4191.794922,2
1670142094.143143,122.0,4351.538574,4245.512695,4300.128418,4208.846191,4279.230957,4188.333496,4233.333496,4310.384766,4184.102539,4187.94873,4172.307617,4187.436035,4184.743652,4189.230957,2
