Timestamp,EEG.Counter,EEG.AF3,EEG.AF4,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,Label
1670072172.992986,40.0,4309.487305,4312.563965,4303.846191,4261.025879,4278.205078,4216.538574,4232.563965,4252.436035,4254.358887,4262.179688,4264.230957,4229.615234,4244.487305,4275.897461,2
1670072172.996898,41.0,4310.384766,4315.128418,4299.487305,4262.820313,4276.666504,4217.307617,4234.871582,4255.256348,4255.897461,4259.487305,4262.436035,4228.974121,4247.563965,4273.077148,2
1670072173.000811,42.0,4308.974121,4321.153809,4295.769043,4265.769043,4274.743652,4217.179688,4236.025879,4257.820313,4258.589844,4258.846191,4261.666504,4229.615234,4251.538574,4274.743652,2
1670072173.004724,43.0,4308.589844,4330.384766,4293.974121,4268.461426,4273.333496,4216.153809,4235.641113,4259.230957,4259.871582,4261.153809,4262.820313,4232.05127,4255.897461,4281.922852,2
1670072173.008636,44.0,4310.897461,4340.384766,4294.615234,4269.871582,4273.589844,4214.743652,4234.358887,4259.358887,4258.846191,4265.512695,4265.897461,4236.410156,4260.0,4291.410156,2
1670072173.012549,45.0,4314.615234,4347.563965,4296.794922,4269.871582,4275.384766,4213.974121,4233.333496,4259.102539,4257.820313,4270.512695,4270.769043,4241.538574,4263.333496,4298.974121,2
1670072173.016462,46.0,4316.153809,4349.743652,4298.846191,4269.230957,4277.692383,4214.102539,4232.820313,4259.102539,4259.615234,4274.487305,4275.897461,4245.897461,4265.256348,4302.05127,2
1670072173.020375,47.0,4313.333496,4346.282227,4298.717773,4268.333496,4278.717773,4214.743652,4232.307617,4259.487305,4264.743652,4276.282227,4279.358887,4247.820313,4265.512695,4300.256348,2
1670072173.024287,48.0,4306.922852,4338.205078,4295.384766,4266.538574,4276.922852,4215.384766,4231.922852,4260.128418,4270.641113,4276.025879,4279.615234,4246.282227,4263.333496,4295.512695,2
1670072173.0282,49.0,4299.358887,4328.205078,4290.128418,4263.717773,4272.563965,4215.512695,4232.692383,4260.769043,4273.846191,4273.846191,4276.922852,4242.05127,4259.358887,4290.128418,2
1670072173.032113,50.0,4293.589844,4320.384766,4285.641113,4260.256348,4268.205078,4215.384766,4235.769043,4261.666504,4272.820313,4271.282227,4273.846191,4236.794922,4255.384766,4285.769043,2
1670072173.036026,51.0,4291.025879,4318.717773,4284.230957,4257.436035,4266.025879,4215.641113,4240.384766,4262.94873,4268.461426,4270.256348,4272.692383,4233.333496,4253.589844,4283.461426,2
1670072173.039938,52.0,4291.666504,4325.128418,4286.025879,4256.538574,4267.307617,4216.538574,4244.743652,4264.743652,4265.128418,4272.307617,4275.256348,4233.333496,4254.871582,4283.846191,2
1670072173.043851,53.0,4294.230957,4336.153809,4288.974121,4257.820313,4270.256348,4217.820313,4247.307617,4267.307617,4266.666504,4277.436035,4281.025879,4237.307617,4258.717773,4287.05127,2
1670072173.047764,54.0,4297.05127,4344.871582,4290.256348,4259.871582,4272.05127,4218.717773,4247.820313,4270.641113,4274.102539,4283.846191,4287.563965,4243.461426,4263.461426,4291.538574,2
1670072173.051677,55.0,4298.717773,4345.512695,4289.102539,4260.897461,4270.897461,4218.846191,4247.436035,4274.358887,4284.102539,4288.974121,4291.666504,4248.974121,4267.692383,4295.384766,2
1670072173.055589,56.0,4298.974121,4338.205078,4286.666504,4260.256348,4267.563965,4218.205078,4246.538574,4277.563965,4291.153809,4290.512695,4291.922852,4251.282227,4270.512695,4297.179688,2
1670072173.059502,57.0,4298.333496,4328.461426,4285.0,4258.974121,4264.358887,4217.179688,4244.743652,4278.974121,4292.179688,4288.717773,4288.974121,4250.512695,4271.538574,4296.666504,2
1670072173.063415,58.0,4297.307617,4323.205078,4284.615234,4258.461426,4263.205078,4215.897461,4241.794922,4278.333496,4288.077148,4285.641113,4285.128418,4248.333496,4271.025879,4294.487305,2
1670072173.067327,59.0,4296.282227,4324.871582,4284.871582,4258.846191,4264.102539,4214.615234,4238.333496,4276.282227,4282.307617,4282.94873,4282.692383,4247.05127,4268.974121,4291.538574,2
1670072173.07124,60.0,4295.512695,4331.153809,4284.743652,4259.102539,4265.641113,4213.461426,4235.641113,4274.615234,4278.077148,4281.153809,4282.307617,4246.922852,4265.641113,4288.333496,2
1670072173.075153,61.0,4294.743652,4337.05127,4284.102539,4257.94873,4267.05127,4212.436035,4234.487305,4274.487305,4276.410156,4278.974121,4282.820313,4247.179688,4262.05127,4285.384766,2
1670072173.079066,62.0,4293.974121,4338.717773,4283.846191,4256.025879,4268.205078,4212.563965,4235.128418,4275.769043,4275.897461,4275.769043,4282.436035,4246.922852,4260.0,4283.077148,2
1670072173.082978,63.0,4294.743652,4336.025879,4284.615234,4255.0,4269.487305,4214.102539,4236.666504,4277.563965,4275.512695,4272.692383,4280.384766,4246.282227,4260.512695,4282.05127,2
1670072173.086891,64.0,4298.205078,4331.538574,4286.538574,4257.179688,4271.153809,4216.666504,4237.820313,4278.974121,4275.384766,4271.282227,4277.820313,4246.538574,4263.333496,4282.563965,2
