Timestamp,EEG.Counter,EEG.AF3,EEG.AF4,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,Label
1670139228.008156,252.0,4244.230957,4285.128418,4217.179688,4253.846191,4232.94873,4250.641113,4236.025879,4218.846191,4262.94873,4247.820313,4265.0,4279.487305,4259.487305,4298.333496,3
1670139228.012057,253.0,4251.794922,4281.922852,4216.922852,4256.922852,4233.589844,4249.358887,4239.230957,4223.461426,4269.615234,4251.153809,4266.538574,4280.256348,4261.025879,4297.692383,3
1670139228.015959,254.0,4260.897461,4280.512695,4216.922852,4260.128418,4234.615234,4249.615234,4242.820313,4229.358887,4274.487305,4252.820313,4265.897461,4278.846191,4261.153809,4295.256348,3
1670139228.01986,255.0,4266.410156,4282.563965,4217.307617,4262.05127,4235.256348,4252.05127,4245.0,4232.563965,4274.743652,4251.922852,4263.333496,4277.307617,4260.384766,4293.077148,3
1670139228.023762,0.0,4266.666504,4287.563965,4218.205078,4262.436035,4235.0,4256.025879,4245.256348,4230.512695,4270.512695,4248.974121,4261.282227,4276.922852,4259.358887,4293.205078,3
1670139228.027663,1.0,4263.205078,4292.307617,4219.743652,4262.05127,4234.230957,4259.358887,4244.487305,4224.102539,4264.230957,4245.512695,4262.307617,4277.94873,4259.102539,4296.666504,3
1670139228.031564,2.0,4259.230957,4293.846191,4221.538574,4260.897461,4233.461426,4260.384766,4244.230957,4217.820313,4259.358887,4244.358887,4267.179688,4278.717773,4259.743652,4301.794922,3
1670139228.035466,3.0,4257.179688,4292.179688,4222.692383,4259.102539,4233.461426,4259.230957,4245.256348,4216.794922,4258.974121,4246.794922,4273.589844,4277.94873,4261.153809,4305.897461,3
1670139228.039367,4.0,4257.563965,4289.487305,4223.333496,4256.410156,4234.871582,4257.94873,4247.05127,4222.563965,4263.461426,4252.05127,4278.717773,4275.512695,4262.563965,4307.820313,3
1670139228.043269,5.0,4259.358887,4288.717773,4224.615234,4253.717773,4238.077148,4258.077148,4248.461426,4231.538574,4270.897461,4257.94873,4280.897461,4273.974121,4263.205078,4308.333496,3
1670139228.04717,6.0,4261.410156,4291.153809,4227.692383,4252.307617,4242.307617,4260.256348,4248.205078,4237.692383,4278.077148,4262.179688,4280.0,4275.128418,4262.94873,4308.974121,3
1670139228.051071,7.0,4262.820313,4295.641113,4231.666504,4253.589844,4245.641113,4263.077148,4246.666504,4237.179688,4281.794922,4262.94873,4277.692383,4278.077148,4262.436035,4309.230957,3
1670139228.054973,8.0,4263.589844,4299.743652,4234.102539,4257.179688,4246.153809,4264.615234,4245.256348,4231.794922,4280.256348,4260.0,4275.256348,4279.615234,4262.692383,4307.436035,3
1670139228.058874,9.0,4263.846191,4301.025879,4233.205078,4261.538574,4243.333496,4263.589844,4245.0,4226.538574,4273.974121,4254.358887,4273.461426,4277.436035,4263.589844,4302.94873,3
1670139228.062775,10.0,4263.717773,4298.589844,4229.102539,4264.487305,4239.102539,4260.384766,4245.897461,4225.0,4265.641113,4247.94873,4271.410156,4272.307617,4264.102539,4297.307617,3
1670139228.066677,11.0,4262.820313,4292.94873,4224.230957,4265.256348,4236.025879,4256.666504,4246.794922,4226.794922,4258.333496,4243.205078,4268.205078,4267.436035,4262.692383,4293.589844,3
1670139228.070578,12.0,4261.282227,4285.897461,4221.153809,4263.717773,4235.384766,4253.589844,4246.666504,4228.333496,4254.487305,4241.282227,4264.358887,4265.641113,4258.974121,4293.717773,3
1670139228.074479,13.0,4259.743652,4280.384766,4221.410156,4260.641113,4236.666504,4251.282227,4245.384766,4227.05127,4254.358887,4241.666504,4261.153809,4267.436035,4254.102539,4297.436035,3
