Timestamp,EEG.Counter,EEG.AF3,EEG.AF4,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,Label
1669984873.991796,8.0,4249.743652,4277.179688,4242.179688,4306.922852,4267.563965,4279.487305,4246.282227,4215.128418,4294.102539,4296.153809,4286.922852,4213.974121,4294.102539,4252.820313,4
1669984873.995709,9.0,4244.743652,4271.025879,4235.641113,4303.461426,4262.05127,4279.487305,4251.922852,4217.94873,4293.205078,4301.025879,4280.256348,4208.333496,4291.922852,4248.077148,4
1669984873.999622,10.0,4240.384766,4267.94873,4229.743652,4302.94873,4260.384766,4279.615234,4251.282227,4215.641113,4295.0,4301.153809,4276.666504,4204.615234,4290.128418,4247.179688,4
1669984874.003534,11.0,4240.512695,4270.256348,4227.179688,4305.897461,4263.717773,4280.256348,4246.538574,4208.333496,4297.692383,4298.205078,4278.589844,4205.641113,4290.641113,4251.666504,4
1669984874.007447,12.0,4245.769043,4277.179688,4228.974121,4310.769043,4270.0,4281.410156,4242.179688,4200.0,4299.743652,4296.153809,4285.0,4211.410156,4294.615234,4259.358887,4
1669984874.01136,13.0,4253.205078,4285.384766,4232.94873,4314.743652,4275.128418,4282.436035,4241.666504,4195.641113,4300.641113,4296.922852,4292.05127,4218.974121,4300.641113,4265.897461,4
1669984874.015273,14.0,4258.205078,4291.025879,4236.538574,4316.282227,4276.794922,4282.436035,4245.0,4197.307617,4300.897461,4299.230957,4296.153809,4224.615234,4306.282227,4268.205078,4
1669984874.019185,15.0,4258.333496,4293.205078,4237.94873,4315.512695,4275.512695,4282.05127,4248.974121,4203.077148,4301.153809,4300.512695,4296.410156,4225.769043,4310.0,4267.563965,4
1669984874.023098,16.0,4255.256348,4293.077148,4237.94873,4314.487305,4273.461426,4282.307617,4249.871582,4208.461426,4300.769043,4300.384766,4295.0,4223.589844,4311.666504,4267.179688,4
1669984874.027011,17.0,4252.94873,4292.94873,4238.974121,4314.743652,4272.692383,4284.743652,4245.512695,4210.0,4299.358887,4300.769043,4294.102539,4220.897461,4311.538574,4269.102539,4
1669984874.030923,18.0,4254.358887,4293.461426,4242.692383,4316.794922,4273.846191,4289.102539,4237.563965,4206.794922,4297.179688,4303.205078,4294.358887,4220.641113,4310.897461,4273.077148,4
1669984874.034836,19.0,4259.615234,4294.230957,4248.717773,4319.487305,4277.179688,4293.461426,4231.025879,4201.282227,4296.282227,4306.794922,4295.0,4223.333496,4310.384766,4276.794922,4
1669984874.038749,20.0,4266.538574,4294.358887,4255.897461,4321.794922,4282.05127,4295.769043,4230.769043,4197.179688,4297.436035,4309.230957,4295.256348,4227.179688,4310.769043,4279.102539,4
1669984874.042662,21.0,4272.307617,4294.102539,4262.692383,4324.230957,4287.692383,4295.641113,4237.179688,4197.05127,4300.0,4309.102539,4294.743652,4229.743652,4311.538574,4280.128418,4
1669984874.046574,22.0,4275.641113,4293.717773,4268.333496,4327.05127,4292.820313,4294.743652,4246.666504,4201.282227,4302.307617,4307.820313,4294.102539,4228.974121,4311.922852,4279.743652,4
1669984874.050487,23.0,4277.179688,4293.077148,4272.436035,4329.871582,4296.025879,4294.102539,4254.743652,4207.94873,4303.846191,4307.563965,4293.333496,4224.871582,4311.025879,4277.307617,4
1669984874.0544,24.0,4278.333496,4291.666504,4275.0,4331.282227,4297.05127,4293.846191,4258.846191,4213.589844,4304.615234,4309.358887,4292.820313,4219.230957,4309.487305,4272.307617,4
1669984874.058313,25.0,4280.128418,4289.871582,4276.666504,4330.897461,4296.282227,4293.974121,4259.102539,4215.128418,4305.0,4311.922852,4292.820313,4214.743652,4308.077148,4266.153809,4
1669984874.062225,26.0,4282.05127,4289.102539,4278.077148,4329.487305,4295.128418,4294.487305,4257.436035,4212.05127,4304.487305,4312.692383,4293.333496,4213.589844,4308.205078,4261.410156,4
1669984874.066138,27.0,4282.692383,4290.128418,4279.615234,4328.717773,4294.358887,4295.897461,4255.384766,4206.153809,4302.820313,4311.153809,4293.461426,4215.256348,4310.0,4260.256348,4
1669984874.070051,28.0,4281.153809,4292.307617,4280.384766,4329.487305,4294.358887,4298.717773,4253.077148,4201.538574,4300.384766,4308.333496,4292.692383,4217.05127,4312.692383,4262.94873,4
1669984874.073964,29.0,4278.589844,4294.102539,4279.871582,4331.794922,4295.897461,4302.692383,4250.769043,4200.897461,4299.743652,4306.666504,4291.538574,4216.922852,4315.897461,4267.692383,4
1669984874.077876,30.0,4277.179688,4294.487305,4278.717773,4335.256348,4298.717773,4307.179688,4249.487305,4204.487305,4302.307617,4307.692383,4291.794922,4215.512695,4319.230957,4272.436035,4
1669984874.081789,31.0,4278.717773,4293.461426,4278.077148,4339.102539,4302.179688,4311.153809,4250.897461,4209.743652,4308.205078,4311.025879,4294.487305,4215.897461,4322.307617,4275.641113,4
1669984874.085702,32.0,4282.94873,4292.307617,4278.333496,4342.436035,4304.615234,4314.102539,4256.282227,4214.230957,4314.871582,4315.128418,4298.717773,4219.615234,4325.0,4277.179688,4
1669984874.089614,33.0,4287.820313,4292.820313,4278.974121,4344.487305,4304.871582,4316.410156,4264.230957,4217.05127,4319.102539,4318.333496,4301.922852,4225.128418,4327.05127,4278.205078,4
1669984874.093527,34.0,4291.666504,4295.512695,4279.102539,4345.0,4302.820313,4317.94873,4270.897461,4218.589844,4318.589844,4319.615234,4302.307617,4230.0,4328.589844,4279.358887,4
1669984874.09744,35.0,4293.461426,4299.102539,4278.589844,4345.0,4299.358887,4319.102539,4272.436035,4219.358887,4313.717773,4319.230957,4300.128418,4232.05127,4329.871582,4280.769043,4
1669984874.101353,36.0,4293.589844,4301.538574,4277.307617,4345.769043,4296.666504,4319.871582,4269.230957,4219.487305,4308.205078,4318.717773,4297.820313,4231.794922,4330.897461,4282.436035,4
1669984874.105265,37.0,4294.102539,4301.410156,4275.256348,4348.077148,4296.025879,4320.384766,4265.0,4218.846191,4307.436035,4319.871582,4297.820313,4231.282227,4332.05127,4285.384766,4
1669984874.109178,38.0,4296.410156,4300.641113,4273.461426,4352.179688,4298.205078,4320.769043,4263.846191,4217.307617,4314.743652,4322.94873,4301.922852,4233.333496,4334.230957,4290.512695,4
1669984874.113091,39.0,4301.153809,4302.436035,4273.974121,4357.307617,4302.436035,4321.922852,4267.692383,4215.769043,4328.333496,4327.692383,4309.487305,4239.230957,4338.333496,4298.333496,4
1669984874.117004,40.0,4306.922852,4308.846191,4278.205078,4362.692383,4307.692383,4325.128418,4275.0,4215.641113,4341.410156,4333.717773,4318.461426,4248.077148,4344.615234,4306.794922,4
1669984874.120916,41.0,4311.282227,4318.461426,4284.743652,4367.563965,4312.692383,4330.384766,4282.436035,4217.692383,4348.205078,4340.512695,4325.641113,4257.179688,4351.794922,4313.333496,4
1669984874.124829,42.0,4312.436035,4327.05127,4290.0,4371.025879,4316.794922,4335.769043,4286.282227,4221.410156,4347.436035,4346.922852,4328.589844,4262.94873,4357.692383,4316.282227,4
1669984874.128742,43.0,4310.897461,4331.153809,4291.153809,4372.820313,4319.743652,4338.333496,4285.512695,4224.743652,4343.333496,4350.769043,4327.436035,4263.717773,4361.153809,4316.282227,4
1669984874.132654,44.0,4309.102539,4330.0,4287.94873,4373.077148,4321.025879,4336.538574,4280.897461,4225.512695,4340.641113,4350.769043,4324.743652,4260.897461,4362.307617,4315.641113,4
1669984874.136567,45.0,4309.743652,4326.666504,4283.333496,4372.820313,4320.641113,4332.179688,4274.743652,4222.820313,4342.179688,4347.820313,4323.589844,4258.077148,4362.563965,4316.666504,4
1669984874.14048,46.0,4313.205078,4324.871582,4281.025879,4373.205078,4319.358887,4329.102539,4270.641113,4218.974121,4347.563965,4346.153809,4325.769043,4258.333496,4364.102539,4320.512695,4
1669984874.144393,47.0,4317.820313,4327.179688,4283.205078,4375.769043,4319.230957,4330.641113,4271.538574,4218.205078,4355.128418,4350.512695,4331.666504,4262.820313,4368.717773,4327.05127,4
1669984874.148305,48.0,4321.538574,4332.820313,4289.230957,4380.769043,4321.538574,4337.179688,4278.461426,4223.846191,4362.692383,4362.436035,4340.0,4270.384766,4376.794922,4335.641113,4
1669984874.152218,49.0,4323.846191,4339.615234,4295.256348,4387.179688,4325.512695,4345.641113,4289.487305,4235.256348,4368.717773,4377.436035,4348.717773,4278.205078,4385.641113,4344.102539,4
