Timestamp,EEG.Counter,EEG.AF3,EEG.AF4,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,Label
1669540627.14667,238.0,4183.717773,4212.563965,4206.282227,4208.974121,4200.769043,4220.0,4213.589844,4216.153809,4212.179688,4218.461426,4224.358887,4231.025879,4212.436035,4227.820313,4
1669540627.150568,239.0,4182.94873,4212.307617,4207.94873,4210.384766,4203.589844,4222.563965,4213.589844,4215.769043,4210.641113,4216.794922,4224.102539,4229.487305,4211.666504,4223.333496,4
1669540627.154465,240.0,4181.922852,4212.94873,4209.102539,4209.230957,4207.307617,4224.102539,4213.589844,4216.153809,4210.128418,4216.153809,4220.897461,4224.102539,4210.128418,4218.589844,4
1669540627.158363,241.0,4182.307617,4214.743652,4208.589844,4206.538574,4210.128418,4222.692383,4213.333496,4215.897461,4211.282227,4215.769043,4215.128418,4217.307617,4209.743652,4215.0,4
1669540627.16226,242.0,4183.846191,4217.307617,4206.025879,4205.769043,4211.410156,4219.743652,4213.461426,4215.641113,4214.487305,4216.666504,4210.256348,4213.333496,4212.05127,4214.102539,4
1669540627.166158,243.0,4185.897461,4219.358887,4203.589844,4209.615234,4212.436035,4218.717773,4215.0,4217.820313,4219.615234,4220.512695,4210.641113,4215.769043,4217.05127,4217.05127,4
1669540627.170056,244.0,4188.461426,4221.282227,4204.358887,4217.05127,4214.230957,4221.794922,4219.102539,4223.461426,4226.025879,4228.589844,4218.205078,4224.487305,4223.077148,4224.615234,4
1669540627.173953,245.0,4191.794922,4224.487305,4209.615234,4224.358887,4216.666504,4227.692383,4224.871582,4230.641113,4231.794922,4239.487305,4230.641113,4235.512695,4228.589844,4235.256348,4
1669540627.177851,246.0,4195.897461,4229.743652,4216.282227,4227.307617,4218.846191,4232.563965,4229.358887,4235.0,4235.256348,4248.461426,4242.05127,4243.461426,4232.05127,4244.615234,4
1669540627.181748,247.0,4199.487305,4235.384766,4219.358887,4225.128418,4220.128418,4233.846191,4229.358887,4233.589844,4235.512695,4251.153809,4246.666504,4245.0,4232.820313,4248.077148,4
1669540627.185646,248.0,4200.769043,4238.333496,4216.153809,4220.128418,4220.0,4231.666504,4224.871582,4227.307617,4232.692383,4246.666504,4242.563965,4240.769043,4231.025879,4244.230957,4
1669540627.189544,249.0,4198.846191,4237.05127,4208.846191,4215.897461,4218.333496,4228.077148,4218.717773,4220.0,4228.077148,4238.589844,4233.461426,4235.0,4227.563965,4236.666504,4
1669540627.193441,250.0,4195.0,4232.820313,4202.436035,4215.0,4215.0,4225.512695,4214.358887,4216.410156,4224.102539,4232.05127,4226.025879,4231.666504,4223.974121,4231.410156,4
1669540627.197339,251.0,4191.153809,4229.102539,4200.384766,4216.794922,4210.512695,4224.230957,4213.589844,4217.820313,4222.563965,4230.128418,4224.230957,4231.794922,4222.563965,4231.538574,4
1669540627.201236,252.0,4188.461426,4228.077148,4201.538574,4218.846191,4206.282227,4222.94873,4214.743652,4221.538574,4222.94873,4231.538574,4227.436035,4233.717773,4223.846191,4235.512695,4
1669540627.205134,253.0,4186.922852,4229.487305,4202.05127,4218.974121,4203.461426,4220.256348,4215.128418,4223.333496,4222.692383,4232.820313,4230.512695,4234.615234,4226.025879,4237.94873,4
1669540627.209031,254.0,4186.025879,4230.641113,4198.974121,4216.922852,4201.922852,4216.153809,4212.436035,4220.641113,4220.0,4231.282227,4229.102539,4233.077148,4225.897461,4235.769043,4
1669540627.212929,255.0,4186.282227,4228.717773,4192.94873,4214.615234,4201.025879,4212.563965,4207.307617,4214.871582,4215.384766,4227.179688,4222.94873,4230.0,4222.436035,4229.743652,4
1669540627.216827,0.0,4188.717773,4223.205078,4187.94873,4214.358887,4200.256348,4211.794922,4202.563965,4209.615234,4211.794922,4222.563965,4215.769043,4227.05127,4217.563965,4223.974121,4
1669540627.220724,1.0,4193.717773,4216.666504,4186.922852,4215.897461,4200.128418,4213.846191,4200.769043,4208.333496,4211.666504,4219.743652,4211.153809,4225.256348,4214.358887,4221.282227,4
1669540627.224622,2.0,4199.230957,4212.94873,4189.358887,4216.794922,4200.769043,4216.410156,4202.05127,4211.794922,4215.512695,4218.974121,4209.743652,4223.846191,4214.358887,4221.282227,4
1669540627.228519,3.0,4202.307617,4214.358887,4192.436035,4214.743652,4201.538574,4216.666504,4204.230957,4217.94873,4220.641113,4219.102539,4209.487305,4221.410156,4215.897461,4221.025879,4
